cik,cusip6,cusip9
0000063276,577081,577081102
0000063296,577128,577128101
0000063330,557345,557345101
0000063506,578349,578349101
0000063506,578349,578349102
0000063528,578444,578444101
0000063754,579780,579780206
0000063908,580135,580135101
0000064040,580645,580645109
0000064040,78409V,78409V104
0000064079,552673,552673100
0000064079,552673,552673105
0000064247,553076,553076209
0000064279,582411,582411100
0000064279,582411,582411101
0000064279,582411,582411104
0000064394,582834,582834107
0000064463,583543,583543103
0000064472,368678,368678108
0000064493,584020,584020101
0000064605,98143P,98143P106
0000064782,585509,585509100
0000064782,76009N,76009N100
0000064803,126650,126650101
0000064892,587188,587188100
0000064892,587188,587188103
0000064892,69900Q,69900Q108
0000064907,587342,587342106
0000064996,589400,589400100
0000065011,00165C,00165C104
0000065011,589433,589433101
0000065011,589433,589433200
0000065011,589433,589433201
0000065011,625437,625437108
0000065011,74348X,74348X103
0000065100,380701,380701101
0000065100,590188,590188108
0000065100,59018Y,59018Y
0000065270,591520,591520200
0000065297,05873J,05873J101
0000065312,26929N,26929N102
0000065433,592823,592823102
0000065433,592835,592835102
0000065596,826176,826176
0000065648,594518,594518201
0000065770,594960,594960106
0000065873,318677,318677101
0000065984,29364G,29364G101
0000065984,29364G,29364G103
0000066004,596680,596680108
0000066025,597486,597486109
0000066109,896085,896085107
0000066382,600544,600544100
0000066479,601073,601073101
0000066479,601073,601073109
0000066570,553498,553498106
0000066570,602720,602720104
0000066649,603432,603432105
0000066740,88579Y,88579Y101
0000066756,018522,018522102
0000066756,018522,018522300
0000066756,604110,604110100
0000066756,604110,604110106
0000066895,605288,605288208
0000066960,03840P,03840P102
0000067088,446150,446150104
0000067199,607235,607235501
0000067199,607235,607235504
0000067215,267475,267475101
0000067279,607494,607494101
0000067279,607556,607556107
0000067347,607282,607282100
0000067347,607828,607828100
0000067472,608554,608554101
0000067472,608554,608554200
0000067472,608554,608554201
0000067625,189737,18973751
0000067625,609720,609720107
0000067716,552690,552690109
0000067727,612085,612085506
0000067813,614115,614115103
0000067887,615394,615394300
0000067887,615394,615394301
0000067931,615785,61578510
0000067931,615785,615785101
0000067975,615836,615836100
0000067975,615836,615836103
0000068270,781182,781182100
0000068330,552885,552885105
0000068366,218412,218412104
0000068366,884103,884103100
0000068366,884103,884103102
0000068505,620076,620076109
0000068709,359694,359694106
0000068709,553777,553777101
0000068709,553777,553777103
0000068726,624752,624752101
0000068813,62545K,62545K107
0000069488,628464,628464101
0000069488,628530,628530101
0000069499,628530,628530107
0000069633,630402,630402105
0000069671,20563P,20563P101
0000069671,631158,631158102
0000069952,218695,218695104
0000069960,628850,628850109
0000070033,635621,635621101
0000070033,635621,635621105
0000070033,639480,639480102
0000070145,636180,636180101
0000070318,636886,636886103
0000070318,88033G,88033G100
0000070415,36225V,36225V104
0000070415,637130,637130101
0000070415,637130,637130301
0000070487,637372,637372103
0000070487,637372,637372202
0000070487,637372,637372301
0000070530,637640,637640103
0000070538,637657,637657206
0000070564,637742,637742017
0000070578,637844,637844309
0000070668,629430,629430100
0000070684,638522,638522101
0000070793,628782,628782104
0000070858,09249S,09249S209
0000070866,62886E,62886E108
0000071023,640376,640376100
0000071023,640376,640376109
0000071241,642876,642876106
0000071478,53630P,53630P10
0000071525,002828,002828102
0000071525,092828,092828100
0000071525,092828,092828102
0000071557,67075V,67075V100
0000071675,649840,649840105
0000071691,011110,01111071
0000071691,650111,650111107
0000071745,651186,651186101
0000071829,205937,205937105
0000071829,651718,651718501
0000071829,651718,651718504
0000071932,653522,653522102
0000072020,654086,654086107
0000072207,654894,654894
0000072207,655044,655044105
0000072316,655555,65555510
0000072316,655555,655555100
0000072331,655663,655663
0000072333,655664,655664100
0000072418,656535,656535101
0000072444,053761,053761102
0000072444,090694,090694100
0000072444,628716,62871610
0000072444,628716,628716102
0000072444,629519,629519109
0000072444,92243A,92243A200
0000072573,624580,624580106
0000072741,30040W,30040W108
0000072741,664397,664397100
0000072741,664397,664397101
0000072741,664397,664397106
0000072843,665262,66526286
0000072859,293561,293561101
0000072859,293561,293561809
0000072903,98389B,98389B100
0000072903,98389B,98389B407
0000072903,98389B,98389B605
0000072903,98389B,98389B704
0000072931,666416,666416102
0000072971,00817R,00817R103
0000072971,960878,960878304
0000073020,667655,667655104
0000073048,74435P,74435P104
0000073088,668074,668074305
0000073124,665891,66589104
0000073290,09061H,09061H307
0000073309,670346,670346105
0000073568,671400,671400505
0000073609,674098,674098108
0000073756,675232,675232102
0000073773,670841,670841101
0000073773,670841,670841105
0000073822,862701,862701307
0000073864,670836,670836106
0000073887,100394,100394103
0000073887,110394,110394103
0000073887,676255,67625510
0000073887,676255,676255102
0000073918,677007,677007101
0000073952,677240,677240103
0000073960,677347,677347700
0000073960,677347,677347767
0000073986,677415,677415705
0000074046,677864,677864100
0000074058,678041,67804102
0000074091,891490,891490300
0000074091,891490,891490301
0000074208,902653,902653104
0000074260,680223,680223104
0000074303,680665,680665205
0000074303,680665,68066525
0000074303,680665,680665251
0000074303,680665,680665908
0000074386,681385,681385100
0000074585,682505,68250510
0000074691,615795,615795103
0000074691,615799,615799101
0000074783,004308,004308102
0000074783,430810,43081021
0000074818,685559,685559304
0000074818,892721,892721101
0000074928,686264,686264201
0000074931,686268,686268103
0000075042,688222,688222207
0000075042,688222,688222220
0000075042,688222,688222306
0000075129,689648,689648100
0000075129,689648,689648103
0000075149,690020,690020100
0000075149,690020,690020102
0000075208,690368,690368105
0000075208,69036R,69036R103
0000075234,690734,690734207
0000075234,69073F,69073F103
0000075252,690732,690732102
0000075288,691497,691497301
0000075288,691497,691497309
0000075362,693718,693718108
0000075439,60851R,60851R104
0000075488,69331C,69331C108
0000075488,694308,694308206
0000075488,694308,694308404
0000075488,694308,694308693
